account_authenticity,bidding_score,transaction_score,fraud_reports,risk_level
0.88,0.85,0.8,0,Medium
0.85,0.82,0.78,1,Medium
0.8,0.78,0.7,1,Medium
0.96,0.91,0.89,0,Low
0.94,0.9,0.87,0,Low
0.91,0.88,0.85,0,Low
0.89,0.86,0.82,1,Medium
0.86,0.83,0.8,1,Medium
0.84,0.81,0.77,1,Medium
0.81,0.79,0.73,2,High
0.77,0.75,0.7,2,High
0.73,0.7,0.66,3,High
0.68,0.65,0.6,3,High
0.63,0.6,0.55,4,High
0.58,0.55,0.5,4,High
0.53,0.5,0.45,5,High
0.48,0.45,0.4,6,High
0.98,0.95,0.94,0,Low
0.97,0.94,0.93,0,Low
0.96,0.93,0.92,0,Low
0.95,0.92,0.91,0,Low
0.94,0.91,0.9,0,Low
0.93,0.9,0.89,0,Low
0.92,0.89,0.88,0,Low
0.91,0.88,0.87,0,Low
0.9,0.87,0.86,0,Low
0.89,0.86,0.85,0,Low
0.85,0.82,0.8,1,Medium
0.84,0.81,0.79,1,Medium
0.83,0.8,0.78,1,Medium
0.82,0.79,0.77,1,Medium
0.81,0.78,0.76,1,Medium
0.8,0.77,0.75,1,Medium
0.79,0.76,0.74,1,Medium
0.78,0.75,0.73,1,Medium
0.77,0.74,0.72,1,Medium
0.76,0.73,0.71,1,Medium
0.72,0.7,0.68,2,High
0.71,0.69,0.67,2,High
0.7,0.68,0.66,2,High
0.69,0.67,0.65,2,High
0.68,0.66,0.64,2,High
0.67,0.65,0.63,3,High
0.66,0.64,0.62,3,High
0.65,0.63,0.61,3,High
0.64,0.62,0.6,3,High
0.63,0.61,0.59,3,High
0.6,0.58,0.56,4,High
0.59,0.57,0.55,4,High
0.58,0.56,0.54,4,High
0.57,0.55,0.53,4,High
0.56,0.54,0.52,4,High
0.55,0.53,0.51,5,High
0.54,0.52,0.5,5,High
0.53,0.51,0.49,5,High
0.52,0.5,0.48,5,High
0.51,0.49,0.47,5,High
0.5,0.48,0.46,6,High
0.49,0.47,0.45,6,High
0.48,0.46,0.44,6,High
0.47,0.45,0.43,6,High
0.46,0.44,0.42,6,High
0.99,0.96,0.95,0,Low
0.86,0.83,0.81,1,Medium
0.73,0.7,0.67,2,High
0.72,0.69,0.66,2,High
0.71,0.68,0.65,2,High
0.7,0.67,0.64,2,High
0.69,0.66,0.63,2,High
0.68,0.65,0.62,3,High
0.67,0.64,0.61,3,High
0.66,0.63,0.6,3,High
0.65,0.62,0.59,3,High
0.64,0.61,0.58,3,High
0.61,0.58,0.55,4,High
0.6,0.57,0.54,4,High
0.59,0.56,0.53,4,High
0.58,0.55,0.52,4,High
0.57,0.54,0.51,4,High
0.56,0.53,0.5,5,High
0.55,0.52,0.49,5,High
0.54,0.51,0.48,5,High
0.53,0.5,0.47,5,High
0.52,0.49,0.46,5,High
0.49,0.46,0.43,6,High
0.48,0.45,0.42,6,High
0.47,0.44,0.41,6,High
0.46,0.43,0.4,6,High
0.45,0.42,0.39,6,High
0.88,0.85,0.83,0,Low
0.87,0.84,0.82,0,Low
0.86,0.83,0.81,0,Low
0.85,0.82,0.8,0,Low
0.84,0.81,0.79,0,Low
0.83,0.8,0.78,0,Low
0.82,0.79,0.77,0,Low
0.81,0.78,0.76,0,Low
0.8,0.77,0.75,0,Low
0.79,0.76,0.74,0,Low
0.75,0.72,0.69,1,Medium
0.74,0.71,0.68,1,Medium
0.73,0.7,0.67,1,Medium
0.72,0.69,0.66,1,Medium
0.71,0.68,0.65,1,Medium
0.7,0.67,0.64,1,Medium
0.69,0.66,0.63,1,Medium
0.68,0.65,0.62,1,Medium
0.67,0.64,0.61,1,Medium
0.66,0.63,0.6,1,Medium
0.62,0.59,0.56,3,High
0.61,0.58,0.55,3,High
0.6,0.57,0.54,3,High
0.59,0.56,0.53,3,High
0.58,0.55,0.52,3,High
0.57,0.54,0.51,4,High
0.56,0.53,0.5,4,High
0.55,0.52,0.49,4,High
0.54,0.51,0.48,4,High
0.53,0.5,0.47,4,High
0.5,0.47,0.44,5,High
0.49,0.46,0.43,5,High
0.48,0.45,0.42,5,High
0.47,0.44,0.41,5,High
0.46,0.43,0.4,5,High
0.45,0.42,0.39,6,High
0.44,0.41,0.38,6,High
0.43,0.4,0.37,6,High
0.42,0.39,0.36,6,High
0.41,0.38,0.35,6,High
0.38,0.35,0.32,7,High
0.37,0.34,0.31,7,High
0.36,0.33,0.3,7,High
0.35,0.32,0.29,7,High
0.34,0.31,0.28,7,High
0.83,0.81,0.79,0,Low
0.82,0.8,0.78,0,Low
0.81,0.79,0.77,0,Low
0.8,0.78,0.76,0,Low
0.79,0.77,0.75,0,Low
0.78,0.76,0.74,0,Low
0.77,0.75,0.73,0,Low
0.76,0.74,0.72,0,Low
0.75,0.73,0.71,0,Low
0.74,0.72,0.7,0,Low
0.7,0.68,0.66,1,Medium
0.69,0.67,0.65,1,Medium
0.68,0.66,0.64,1,Medium
0.67,0.65,0.63,1,Medium
0.66,0.64,0.62,1,Medium
0.65,0.63,0.61,1,Medium
0.64,0.62,0.6,1,Medium
0.63,0.61,0.59,1,Medium
0.62,0.6,0.58,1,Medium
0.61,0.59,0.57,1,Medium
0.57,0.55,0.53,3,High
0.56,0.54,0.52,3,High
0.55,0.53,0.51,3,High
0.54,0.52,0.5,3,High
0.53,0.51,0.49,3,High
0.52,0.5,0.48,4,High
0.51,0.49,0.47,4,High
0.5,0.48,0.46,4,High
0.49,0.47,0.45,4,High
0.48,0.46,0.44,4,High
0.45,0.43,0.41,5,High
0.44,0.42,0.4,5,High
0.43,0.41,0.39,5,High
0.42,0.4,0.38,5,High
0.41,0.39,0.37,5,High
0.4,0.38,0.36,6,High
0.39,0.37,0.35,6,High
0.38,0.36,0.34,6,High
0.37,0.35,0.33,6,High
0.36,0.34,0.32,6,High
0.33,0.31,0.29,7,High
0.32,0.3,0.28,7,High
0.31,0.29,0.27,7,High
0.3,0.28,0.26,7,High
0.29,0.27,0.25,7,High
0.85,0.83,0.81,0,Low
0.84,0.82,0.8,0,Low
0.72,0.7,0.68,1,Medium
0.71,0.69,0.67,1,Medium
0.58,0.56,0.54,3,High
0.53,0.51,0.49,4,High
0.46,0.44,0.42,5,High
0.41,0.39,0.37,6,High
0.34,0.32,0.3,7,High
0.28,0.26,0.24,7,High
0.27,0.25,0.23,7,High
0.26,0.24,0.22,7,High
0.25,0.23,0.21,7,High
0.24,0.22,0.2,8,High
0.23,0.21,0.19,8,High
0.22,0.2,0.18,8,High
0.21,0.19,0.17,8,High
0.2,0.18,0.16,8,High
0.19,0.17,0.15,8,High
0.18,0.16,0.14,8,High
0.17,0.15,0.13,8,High
0.16,0.14,0.12,8,High
0.15,0.13,0.11,8,High
0.14,0.12,0.1,9,High
0.13,0.11,0.09,9,High
0.12,0.1,0.08,9,High
0.11,0.09,0.07,9,High
0.1,0.08,0.06,9,High
0.09,0.07,0.05,9,High
0.08,0.06,0.04,9,High
0.07,0.05,0.03,9,High
0.06,0.04,0.02,9,High
0.05,0.03,0.01,10,High
0.95,0.92,0.9,0,Low
0.94,0.91,0.89,0,Low
0.93,0.9,0.88,0,Low
0.92,0.89,0.87,0,Low
0.91,0.88,0.86,0,Low
0.9,0.87,0.85,0,Low
0.89,0.86,0.84,0,Low
0.88,0.85,0.83,0,Low
0.87,0.84,0.82,0,Low
0.86,0.83,0.81,0,Low
0.75,0.73,0.71,1,Medium
0.74,0.72,0.7,1,Medium
0.73,0.71,0.69,1,Medium
0.64,0.62,0.6,2,Medium
0.63,0.61,0.59,2,Medium
0.62,0.6,0.58,2,Medium
0.61,0.59,0.57,2,Medium
0.6,0.58,0.56,2,Medium
0.59,0.57,0.55,2,Medium
0.58,0.56,0.54,2,Medium
0.57,0.55,0.53,2,Medium
0.56,0.54,0.52,2,Medium
0.55,0.53,0.51,2,Medium
0.54,0.52,0.5,3,Medium
0.53,0.51,0.49,3,Medium
0.52,0.5,0.48,3,Medium
0.51,0.49,0.47,3,Medium
0.5,0.48,0.46,3,Medium
0.49,0.47,0.45,3,Medium
0.48,0.46,0.44,3,Medium
0.47,0.45,0.43,3,Medium
0.46,0.44,0.42,3,Medium
0.45,0.43,0.41,3,Medium
0.44,0.42,0.4,4,Medium
0.43,0.41,0.39,4,Medium
0.42,0.4,0.38,4,Medium
0.41,0.39,0.37,4,Medium
0.4,0.38,0.36,4,Medium
0.39,0.37,0.35,4,Medium
0.38,0.36,0.34,4,Medium
0.37,0.35,0.33,4,Medium
0.36,0.34,0.32,4,Medium
0.35,0.33,0.31,4,Medium
0.34,0.32,0.3,5,Medium
0.33,0.31,0.29,5,Medium
0.32,0.3,0.28,5,Medium
0.31,0.29,0.27,5,Medium
0.3,0.28,0.26,5,Medium
0.29,0.27,0.25,5,Medium
0.28,0.26,0.24,5,Medium
0.27,0.25,0.23,5,Medium
0.26,0.24,0.22,5,Medium
0.25,0.23,0.21,5,Medium
0.24,0.22,0.2,6,High
0.23,0.21,0.19,6,High
1.0,0.9,0.8,0,Low
1.0,0.8,0.9,0,Low
1.0,0.7,0.6,0,Low
1.0,0.6,0.7,0,Low
1.0,0.5,0.9,0,Low
1.0,0.7,0.9,0,Low
1.0,0.8,0.7,0,Low
1.0,0.9,0.9,0,Low
1.0,0.7,0.8,0,Low
1.0,0.8,0.6,0,Low
0.9,0.6,0.5,0,Low
1.0,0.7,0.8,0,Low
0.8,0.6,0.6,0,Low
1.0,0.9,0.7,0,Low
0.8,0.8,0.9,0,Low
0.9,0.9,0.8,0,Low
1.0,0.7,0.9,0,Low
1.0,0.8,0.7,0,Low
1.0,0.6,0.5,0,Medium
0.7,0.5,0.6,0,Medium
1.0,0.7,0.7,0,Medium
1.0,0.6,0.5,0,Medium
1.0,0.7,0.6,0,Medium
1.0,0.6,0.5,0,Medium
1.0,0.6,0.7,0,Medium
1.0,0.5,0.9,0,Medium
1.0,0.5,0.8,0,Medium
1.0,0.7,1.0,0,Medium
1.0,0.5,0.9,0,Medium
1.0,0.6,0.8,0,Medium
1.0,0.5,0.7,0,Medium
1.0,0.6,0.8,0,Medium
1.0,0.7,0.9,0,Medium
1.0,0.5,0.8,0,Medium
0.2,0.3,0.2,1,High
0.1,0.2,0.3,1,High
0.3,0.1,0.2,1,High
0.2,0.1,0.1,1,High
0.3,0.2,0.1,1,High
0.2,0.2,0.3,1,High
0.1,0.1,0.1,1,High
0.3,0.2,0.3,1,High
0.1,0.2,0.3,1,High
0.2,0.1,0.2,1,High
0.1,0.2,0.1,1,High
0.2,0.2,0.3,1,High
0.3,0.3,0.3,1,High
0.2,0.3,0.2,1,High
0.2,0.3,0.2,1,High
0.1,0.3,0.3,1,High
0.2,0.3,0.3,1,High
0.1,0.3,0.3,1,High
0.2,0.1,0.3,1,High
0.4,0.0,0.2,0,High
0.6,0.5,0.9,0,Medium
1.0,0.3,0.7,0,Medium
1.0,0.5,1.0,0,Medium
1.0,0.7,1.0,0,Medium
0.4,0.0,0.0,0,High
0.6,0.5,1.0,0,Medium
1.0,0.9,0.7,0,Low
1.0,0.8,0.9,0,Low
1.0,0.7,0.8,0,Low
1.0,0.6,0.9,0,Low
1.0,0.5,0.7,0,Low
1.0,0.8,0.8,0,Low
1.0,0.7,0.7,0,Low
1.0,0.9,0.9,0,Low
1.0,0.6,0.8,0,Low
1.0,0.5,0.6,0,Low
0.9,0.5,0.6,0,Low
1.0,0.7,0.7,0,Low
0.8,0.6,0.7,0,Low
1.0,0.8,0.9,0,Low
0.7,0.7,0.9,0,Low
0.8,0.8,0.8,0,Low
0.7,0.6,0.7,0,Medium
1.0,0.6,0.8,0,Medium
1.0,0.5,0.7,0,Medium
1.0,0.6,0.9,0,Medium
1.0,0.7,0.7,0,Medium
1.0,0.8,0.6,0,Medium
0.8,0.7,0.9,0,Medium
1.0,0.7,0.6,0,Medium
1.0,0.7,0.9,0,Medium
1.0,0.6,0.5,0,Medium
0.2,0.3,0.3,1,High
0.1,0.4,0.2,1,High
0.3,0.2,0.3,1,High
0.3,0.3,0.1,1,High
0.1,0.2,0.2,1,High
0.1,0.3,0.2,1,High
0.2,0.3,0.3,1,High
0.1,0.1,0.1,1,High
0.3,0.1,0.3,1,High
0.2,0.2,0.2,1,High
0.3,0.3,0.1,1,High
0.1,0.2,0.3,1,High
0.2,0.4,0.3,1,High
0.1,0.2,0.3,1,High
0.3,0.3,0.2,1,High
0.4,0.1,0.3,1,High
0.6,0.5,0.7,0,Medium
0.5,0.6,0.8,0,Medium
1.0,0.5,0.7,0,Medium
0.4,0.7,0.9,0,Medium
0.6,0.5,0.8,0,Medium
1.0,0.7,0.9,0,Medium
0.5,0.6,0.7,0,Medium
0.4,0.5,0.8,0,Medium
1.0,0.6,0.9,0,Medium
1.0,0.6,0.7,0,Low
1.0,0.5,0.6,0,Low
1.0,0.6,0.6,0,Low
0.9,0.5,0.7,0,Low
1.0,0.8,0.9,0,Low
0.8,0.6,0.7,0,Low
1.0,0.7,0.7,0,Low
0.7,0.8,0.8,0,Low
0.9,0.7,0.9,0,Low
1.0,0.6,0.6,0,Low
0.6,0.5,0.7,0,Medium
1.0,0.8,0.7,0,Medium
1.0,0.7,0.6,0,Medium
1.0,0.6,0.8,0,Medium
1.0,0.7,0.8,0,Medium
1.0,0.5,0.9,0,Medium
1.0,0.8,0.6,0,Medium
0.7,0.6,0.8,0,Medium
1.0,0.5,0.6,0,Medium
1.0,0.7,0.9,0,Medium
0.2,0.3,0.4,1,High
0.1,0.2,0.4,1,High
0.2,0.1,0.3,1,High
0.1,0.3,0.2,1,High
0.1,0.3,0.2,1,High
0.2,0.3,0.4,1,High
0.1,0.4,0.2,1,High
0.4,0.3,0.2,1,High
0.5,0.2,0.3,1,High
0.6,0.4,0.3,1,High
0.5,0.5,0.4,1,High
0.6,0.4,0.3,1,High
1.0,0.4,0.7,0,Medium
0.4,0.7,0.8,0,Medium
0.7,0.5,0.8,0,Medium
0.6,0.6,0.9,0,Medium
1.0,0.7,0.8,0,Medium
0.6,0.5,0.9,0,Medium
1.0,0.7,0.7,0,Medium
0.5,0.6,0.8,0,Medium
1.0,0.8,0.6,0,Low
1.0,0.5,0.7,0,Low
1.0,0.8,0.7,0,Low
1.0,0.6,0.8,0,Low
0.9,0.7,0.6,0,Low
0.8,0.6,0.8,0,Low
0.7,0.8,0.9,0,Low
0.9,0.8,0.7,0,Low
1.0,0.6,0.7,0,Low
0.6,0.8,0.7,0,Medium
1.0,0.8,0.9,0,Medium
1.0,0.7,0.8,0,Medium
1.0,0.7,0.6,0,Medium
1.0,0.6,0.9,0,Medium
0.7,0.8,0.7,0,Medium
0.2,0.4,0.3,1,High
0.3,0.2,0.3,1,High
0.2,0.1,0.3,1,High
0.3,0.2,0.2,1,High
0.3,0.3,0.4,1,High
0.1,0.4,0.3,1,High
0.3,0.3,0.3,1,High
0.4,0.3,0.3,1,High
0.3,0.3,0.4,1,High
0.5,0.2,0.2,1,High
0.4,0.3,0.2,1,High
0.2,0.5,0.4,1,High
0.1,0.4,0.3,1,High
0.6,0.4,0.3,1,High
0.5,0.6,0.2,1,High
1.0,0.5,0.7,0,Medium
0.6,0.7,0.8,0,Medium
0.5,0.8,0.9,0,Medium
0.6,0.5,0.9,0,Medium
0.7,0.8,0.6,0,Medium
1.0,0.6,0.5,0,Medium
0.5,0.7,0.8,0,Medium
1.0,0.8,0.7,0,Low
1.0,0.7,0.8,0,Low
0.8,0.9,0.6,0,Low
1.0,0.9,0.8,0,Low
0.8,0.6,0.9,0,Low
1.0,0.8,0.8,0,Low
0.8,0.6,0.7,0,Low
1.0,0.7,0.8,0,Medium
0.8,0.9,0.7,0,Medium
1.0,0.6,0.9,0,Medium
0.9,0.8,0.7,0,Medium
1.0,0.8,0.7,0,Medium
0.7,0.8,0.8,0,Medium
0.8,0.6,0.7,0,Medium
0.7,0.7,0.9,0,Medium
1.0,0.5,0.7,0,High
0.6,0.3,0.2,1,High
0.3,0.4,0.3,1,High
0.5,0.2,0.3,1,High
0.6,0.4,0.2,1,High
0.2,0.5,0.4,1,High
0.3,0.2,0.4,1,High
0.5,0.3,0.2,1,High
0.4,0.3,0.5,1,High
0.2,0.4,0.3,1,High
0.3,0.2,0.4,1,High
0.5,0.4,0.5,1,High
0.4,0.5,0.2,1,High
0.3,0.3,0.3,1,High
0.2,0.4,0.5,1,High
0.4,0.2,0.3,1,High
0.5,0.3,0.4,1,High
0.4,0.4,0.3,1,High
0.3,0.4,0.5,1,High
1.0,0.8,1.0,0,Low
0.4,0.0,0.2,0,High
1.0,0.8,1.0,0,Low
0.6,0.6,1.0,0,Medium
4.0,6.0,7.0,1,Low
0.0,0.0,0.0,0,High
0.6,0.8,1.0,0,Low
0.6,0.4,1.0,0,Medium
0.4,0.3,0.3,0,High
0.9194285357055798,0.8894285357055798,0.85,0,Low
1.0,0.8299432733244269,0.7700567266755732,0,Low
0.9430521506696028,0.913052150669603,0.9,0,Low
0.9888046783901524,0.9588046783901524,0.9488046783901524,0,Low
0.953756459518662,0.9,0.8687306214440138,0,Low
1.0,0.5295633685837714,0.8647816842918857,0,Low
1.0,0.8105494259830271,0.8,0,Low
0.9454346542951708,0.9154346542951708,0.9054346542951708,0,Low
1.0,0.7,0.7,0,Low
0.8258349005212963,0.8016698010425927,0.7816698010425926,0,Low
1.0,0.7,0.6883280258918868,0,Low
1.0,0.5324345021005273,0.6324345021005273,0,Low
0.8987791204529932,0.8687791204529932,0.8324417590940134,0,Low
0.9356297838076976,0.5643702161923025,0.5356297838076974,0,Low
0.9309317155845424,0.9,0.8881365688309151,0,Low
0.9327213224938464,0.9027213224938464,0.89,0,Low
0.88,0.85,0.83,0,Low
1.0,0.5001040753990632,0.9,0,Low
1.0,0.6,0.6647431143665831,0,Low
1.0,0.8847609370920986,0.7152390629079014,0,Low
1.0,0.891767207342853,0.708232792657147,0,Low
0.82,0.7953408941937544,0.7753408941937544,0,Low
0.9448482997135896,0.9051517002864102,0.8851517002864102,0,Low
0.8730756396710972,0.8430756396710972,0.8230756396710972,0,Low
1.0,0.5,0.6269412333798521,0,Low
0.8651174895550445,0.8375587447775222,0.8175587447775222,0,Low
1.0,0.5,0.8584145521086465,0,Low
0.7543752843914614,0.7343752843914614,0.7143752843914614,0,Low
0.9,0.7,0.6,0,Low
0.7757698297365175,0.6484603405269649,0.7,0,Low
0.9064892247108982,0.6967553876445509,0.7,0,Low
1.0,0.8,0.9,0,Low
1.0,0.8,0.9,0,Low
0.8160739145432042,0.7930369572716022,0.7730369572716022,0,Low
0.9,0.7,0.6712270589924442,0,Low
0.8,0.6,0.78519130700466,0,Low
0.7500451902990212,0.7300451902990212,0.7100451902990211,0,Low
1.0,0.6266781014275284,0.6266781014275284,0,Low
0.9397661495583264,0.9097661495583266,0.89,0,Low
0.7328829610654585,0.7246622207990938,0.834234077869083,0,Low
1.0,0.5033050732900548,0.8516525366450274,0,Low
0.8734507124802668,0.8434507124802668,0.8234507124802668,0,Low
0.95,0.92,0.9063435134470136,0,Low
1.0,0.8319294548445233,0.7,0,Low
1.0,0.9,0.8530934583317137,0,Low
0.8644778316457309,0.8344778316457309,0.814477831645731,0,Low
0.9552893089071328,0.7,0.6552893089071328,0,Low
0.775926967238794,0.7559269672387939,0.7359269672387939,0,Low
1.0,0.7,0.9,0,Low
0.9369654456061404,0.7,0.6369654456061404,0,Low
1.0,0.6242159938277425,0.7,0,Low
0.943937204872402,0.91,0.898031397563799,0,Low
1.0,0.8,0.6,0,Low
1.0,0.6,0.7016576859105157,0,Low
1.0,0.6398824442444553,0.8601175557555447,0,Low
0.9816431873219384,0.5,0.6183568126780616,0,Low
1.0,0.8,0.6798345124984551,0,Low
0.79,0.7615071754396543,0.7415071754396543,0,Low
0.9149180122325928,0.8849180122325928,0.85,0,Low
0.9695812806790882,0.7,0.6,0,Low
1.0,0.8141641195186281,0.7,0,Low
1.0,0.8337020547399058,0.7662979452600942,0,Low
0.9889879476217226,0.8889879476217226,0.7110120523782774,0,Low
0.8,0.6,0.8711149532438018,0,Low
0.9719049895386028,0.9419049895386028,0.9319049895386028,0,Low
1.0,0.8,0.865133401270827,0,Low
1.0,0.7,0.9,0,Low
1.0,0.6940523264489603,0.8,0,Low
0.8839757202108752,0.8539757202108752,0.8379514404217504,0,Low
0.7948224864947252,0.77,0.75,0,Low
0.8567542021181466,0.8283771010590733,0.8083771010590733,0,Low
0.9432430988296072,0.9132430988296072,0.9,0,Low
1.0,0.5735216119240771,0.6,0,Low
0.9209071620737714,0.5,0.6,0,Low
0.7554144797382757,0.7354144797382757,0.7154144797382757,0,Low
0.9069578439934508,0.8769578439934508,0.85,0,Low
1.0,0.6228550021797299,0.7,0,Low
0.9412522536452032,0.8412522536452032,0.7412522536452032,0,Low
0.82,0.7901783165667057,0.7701783165667057,0,Low
0.8248336410872898,0.7948336410872899,0.7748336410872899,0,Low
1.0,0.7,0.8,0,Low
1.0,0.6996253699757924,0.7,0,Low
1.0,0.7982709675644397,0.8,0,Low
0.978834130927858,0.948834130927858,0.938834130927858,0,Low
0.988263634318934,0.7,0.6882636343189339,0,Low
0.9981129289165862,0.9518870710834136,0.909435355417069,0,Low
1.0,0.6721128647407818,0.7,0,Low
1.0,0.6400715659945542,0.9,0,Low
0.956933222844766,0.91,0.891533388577617,0,Low
0.8,0.6,0.7,0,Low
0.9919098374575562,0.95,0.9161803250848876,0,Low
0.92,0.89,0.8711222990123904,0,Low
0.9149071551232488,0.5,0.6850928448767513,0,Low
1.0,0.7467817497110474,0.8,0,Low
0.8,0.8,0.8214659348886056,0,Low
1.0,0.7665505872642886,0.8331011745285771,0,Low
0.9258068662143646,0.8958068662143646,0.8758068662143645,0,Low
1.0,0.7,0.7627717233438257,0,Low
0.8,0.7717959967262666,0.752993327877111,0,Low
0.79,0.7602633616324468,0.7402633616324468,0,Low
1.0,0.7641960487368733,0.8,0,Low
0.9652681930172196,0.7,0.8305363860344394,0,Low
0.9397122750717244,0.9,0.8851438624641378,0,Low
0.8,0.7744842414298625,0.7544842414298625,0,Low
1.0,0.8,0.699445746261082,0,Low
1.0,0.9,0.8087962626338673,0,Low
1.0,0.6,0.6,0,Low
1.0,0.8,0.7,0,Low
0.7,0.7821177290778671,0.9,0,Low
0.9326706243083428,0.8963353121541714,0.8736646878458286,0,Low
1.0,0.5,0.6255829476943437,0,Low
1.0,0.8,0.7279060075747871,0,Low
0.9308060791852388,0.5,0.6,0,Low
1.0,0.877127011527745,0.722872988472255,0,Low
0.8149118592316124,0.7949118592316124,0.7749118592316124,0,Low
1.0,0.6,0.6,0,Low
0.8974953818139442,0.8899815272557766,0.8100184727442233,0,Low
0.8589870847560545,0.7410129152439456,0.9,0,Low
0.78021107141725,0.76,0.74,0,Low
0.9486742152959456,0.7,0.6486742152959455,0,Low
1.0,0.7093901212281446,0.7,0,Low
0.9,0.5,0.6434394365510429,0,Low
0.7700156815389351,0.7649921592305324,0.9,0,Low
0.7635489663796944,0.7435489663796944,0.7235489663796943,0,Low
0.96689240596631,0.63310759403369,0.6,0,Low
0.948641675650719,0.9,0.878641675650719,0,Low
0.7184148214593244,0.7138111160944933,0.8631703570813511,0,Low
1.0,0.8,0.7,0,Low
0.79,0.7642799580079082,0.7442799580079081,0,Low
0.8523144598569369,0.83,0.81,0,Low
1.0,0.8,0.6043603771754433,0,Low
0.999455051079734,0.6,0.7002724744601329,0,Low
0.8820633112669131,0.85,0.8,0,Medium
0.3809067959792122,0.3609067959792121,0.3409067959792122,4,Medium
0.5,0.6741220018399983,0.8,0,Medium
0.6366252228435398,0.6166252228435398,0.5966252228435398,1,Medium
0.8468828892391058,0.8168828892391059,0.7831171107608942,1,Medium
0.8760034010588905,0.7760034010588905,0.7260034010588905,0,Medium
0.4546710279343279,0.554671027934328,0.8,0,Medium
0.6907572772237236,0.4092427227762764,0.4815145544474473,0,Medium
0.6969584627764558,0.5,0.8060830744470884,0,Medium
0.8522486717663889,0.8222486717663888,0.8,1,Medium
0.3393949894156419,0.3193949894156419,0.2993949894156418,5,Medium
0.682103452991447,0.6610517264957235,0.64,1,Medium
0.6059789997881109,0.5859789997881109,0.5659789997881108,2,Medium
0.3868749694009247,0.3668749694009247,0.3468749694009246,4,Medium
0.8853095501231152,0.8591150749794808,0.8,0,Medium
0.5160803427516171,0.4960803427516171,0.4760803427516171,3,Medium
0.8309045457782107,0.8009045457782108,0.7513568186673162,1,Medium
0.7674669669236736,0.8674669669236736,0.7,0,Medium
1.0,0.6388677289689482,0.5388677289689482,0,Medium
0.8527134903177389,0.8227134903177389,0.8,1,Medium
1.0,0.6,0.5,0,Medium
0.73,0.706432466733064,0.6828649334661282,1,Medium
0.4280934509687381,0.7,0.8,0,Medium
0.590853921663165,0.570853921663165,0.550853921663165,2,Medium
0.2785907577502524,0.2585907577502523,0.2385907577502523,5,Medium
0.4079121207698384,0.3879121207698384,0.3679121207698384,4,Medium
1.0,0.792544935632023,0.9,0,Medium
0.4801311306339948,0.4601311306339948,0.4401311306339948,3,Medium
0.7477224476929666,0.7177224476929666,0.6877224476929665,1,Medium
0.6180128431846583,0.5980128431846583,0.5780128431846583,1,Medium
0.789944778828764,0.759944778828764,0.739944778828764,1,Medium
0.3907730714227417,0.3707730714227417,0.3507730714227417,4,Medium
