account_authenticity,bidding_score,transaction_score,delivery_score,fraud_reports,risk_level
0.22,0.2,0.18,0.21,8,High
0.21,0.19,0.17,0.2,8,High
0.20,0.18,0.16,0.19,8,High
0.19,0.17,0.15,0.18,8,High
0.18,0.16,0.14,0.17,8,High
0.17,0.15,0.13,0.16,8,High
0.16,0.14,0.12,0.15,8,High
0.15,0.13,0.11,0.14,8,High
0.14,0.12,0.1,0.13,9,High
0.13,0.11,0.09,0.12,9,High
0.12,0.10,0.08,0.11,9,High
0.11,0.09,0.07,0.10,9,High
0.10,0.08,0.06,0.09,9,High
0.09,0.07,0.05,0.08,9,High
0.08,0.06,0.04,0.07,9,High
0.07,0.05,0.03,0.06,9,High
0.06,0.04,0.02,0.05,9,High
0.05,0.03,0.01,0.04,10,High
0.95,0.92,0.90,0.91,0,Low
0.94,0.91,0.89,0.90,0,Low
0.93,0.90,0.88,0.89,0,Low
0.92,0.89,0.87,0.88,0,Low
0.91,0.88,0.86,0.87,0,Low
0.90,0.87,0.85,0.86,0,Low
0.89,0.86,0.84,0.85,0,Low
0.88,0.85,0.83,0.84,0,Low
0.87,0.84,0.82,0.83,0,Low
0.86,0.83,0.81,0.82,0,Low
0.75,0.73,0.71,0.74,1,Medium
0.74,0.72,0.7,0.73,1,Medium
0.73,0.71,0.69,0.72,1,Medium
0.72,0.7,0.68,0.71,1,Medium
0.71,0.69,0.67,0.7,1,Medium
0.70,0.68,0.66,0.69,1,Medium
0.69,0.67,0.65,0.68,1,Medium
0.68,0.66,0.64,0.67,1,Medium
0.67,0.65,0.63,0.66,1,Medium
0.66,0.64,0.62,0.65,1,Medium
0.64,0.62,0.60,0.63,2,Medium
0.63,0.61,0.59,0.62,2,Medium
0.62,0.60,0.58,0.61,2,Medium
0.61,0.59,0.57,0.60,2,Medium
0.60,0.58,0.56,0.59,2,Medium
0.59,0.57,0.55,0.58,2,Medium
0.58,0.56,0.54,0.57,2,Medium
0.57,0.55,0.53,0.56,2,Medium
0.56,0.54,0.52,0.55,2,Medium
0.55,0.53,0.51,0.54,2,Medium
0.54,0.52,0.50,0.53,3,Medium
0.53,0.51,0.49,0.52,3,Medium
0.52,0.50,0.48,0.51,3,Medium
0.51,0.49,0.47,0.50,3,Medium
0.50,0.48,0.46,0.49,3,Medium
0.49,0.47,0.45,0.48,3,Medium
0.48,0.46,0.44,0.47,3,Medium
0.47,0.45,0.43,0.46,3,Medium
0.46,0.44,0.42,0.45,3,Medium
0.45,0.43,0.41,0.44,3,Medium
0.44,0.42,0.40,0.43,4,Medium
0.43,0.41,0.39,0.42,4,Medium
0.42,0.40,0.38,0.41,4,Medium
0.41,0.39,0.37,0.40,4,Medium
0.40,0.38,0.36,0.39,4,Medium
0.39,0.37,0.35,0.38,4,Medium
0.38,0.36,0.34,0.37,4,Medium
0.37,0.35,0.33,0.36,4,Medium
0.36,0.34,0.32,0.35,4,Medium
0.35,0.33,0.31,0.34,4,Medium
0.34,0.32,0.30,0.33,5,Medium
0.33,0.31,0.29,0.32,5,Medium
0.32,0.30,0.28,0.31,5,Medium
0.31,0.29,0.27,0.30,5,Medium
0.30,0.28,0.26,0.29,5,Medium
0.29,0.27,0.25,0.28,5,Medium
0.28,0.26,0.24,0.27,5,Medium
0.27,0.25,0.23,0.26,5,Medium
0.26,0.24,0.22,0.25,5,Medium
0.25,0.23,0.21,0.24,5,Medium
0.24,0.22,0.20,0.23,6,High
0.23,0.21,0.19,0.22,6,High
